reg,id,data,categoria_forze_armate,categoria_personale_scolastico,prima_dose,seconda_dose,giornaliere,scorte_consegnate,totale_scorte,cumulative,cumulative_prime,cumulative_seconde,perc_scorte,pop,cumul_1000ab,cumul_prime_1000ab,cumul_seconde_1000ab,pc_seconde_dosi,giornaliere_5ma,prime_dosi_5ma,seconde_dosi_5ma,giornaliere_1000ab,giornaliere_1000ab_5ma,prime_dosi_1000ab,prime_dosi_1000ab_5ma,seconde_dosi_1000ab,seconde_dosi_1000ab_5ma,scorte_disponibili,scorte_disp_1000ab,attesa_seconda_dose,aumento_giorn,pc_seconde_dosi_5ma,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,dimessi_guariti,deceduti,tamponi,ingressi_terapia_intensiva,nuovi_ospedalizzati,area,giorno,settimana
P.A. Trento,1004.0,2021-03-05,158.0,764.0,1583.0,597.0,2180.0,0.0,67700.0,51608.0,33873.0,17735.0,76.2304283604136,545425.0,94.61979190539488,62.1038639592978,32.51592794609708,27.38532110091743,1726.0,1188.2,537.8,3.9968831645047436,3.164504744006967,3.9968831645047436,3.164504744006967,1.094559288628134,0.9860200760874547,16092.0,29.503598111564376,16138.0,-0.05872193436960271,30.591471693059145,179,48,227,3686,3913,30198,1216,626272,6.0,1.0,PAT,4,10
P.A. Trento,1005.0,2021-03-06,5.0,192.0,580.0,152.0,732.0,0.0,67700.0,52340.0,34453.0,17887.0,77.31166912850811,545425.0,95.96186460099922,63.16725489297337,32.794609708025845,20.76502732240437,1625.4,1116.8,508.6,1.3420726956043454,2.980061419993583,1.3420726956043454,2.980061419993583,0.27868176192877114,0.9324838428748224,15360.0,28.16152541596003,16566.0,-0.6642201834862385,29.918566226365932,185,48,233,3826,4059,30372,1220,630456,5.0,6.0,PAT,5,10
P.A. Trento,1006.0,2021-03-07,0.0,21.0,21.0,0.0,21.0,0.0,67700.0,52361.0,34474.0,17887.0,77.3426883308715,545425.0,96.00036668652885,63.205756978503004,32.794609708025845,0.0,1374.8,944.2,430.6,0.03850208552963286,2.520603199339964,0.03850208552963286,2.520603199339964,0.0,0.7894760966219003,15339.0,28.1230233304304,16587.0,-0.9713114754098361,23.796117246774095,188,48,236,3932,4168,30536,1222,633250,1.0,3.0,PAT,6,10
P.A. Trento,1007.0,2021-03-08,7.0,276.0,1015.0,360.0,1375.0,0.0,67700.0,53736.0,35489.0,18247.0,79.37370753323486,545425.0,98.52133657239767,65.06669111243525,33.454645459962414,26.181818181818183,1324.8,933.4,391.4,2.520969885868818,2.428931567126553,2.520969885868818,2.428931567126553,0.6600357519365633,0.7176055369665856,13964.0,25.60205344456158,17242.0,64.47619047619048,22.189403960060808,199,48,247,3897,4144,30639,1226,634145,2.0,11.0,PAT,0,11
P.A. Trento,1008.0,2021-03-09,36.0,191.0,836.0,635.0,1471.0,5850.0,73550.0,55207.0,36325.0,18882.0,75.06050305914343,545425.0,101.21831599211625,66.5994408030435,34.618875189072746,43.16791298436438,1155.8,807.0,348.8,2.696979419718568,2.1190814502452215,2.696979419718568,2.1190814502452215,1.1642297291103267,0.639501306320759,18343.0,33.630654993812165,17443.0,0.06981818181818178,23.500015917900875,199,49,248,3697,3945,31050,1227,637622,3.0,1.0,PAT,1,11
P.A. Trento,1009.0,2021-03-10,166.0,297.0,1338.0,939.0,2277.0,5900.0,79450.0,57484.0,37663.0,19821.0,72.35242290748899,545425.0,105.393042123115,69.05257368107439,36.34046844204061,41.23847167325428,1175.2,758.0,417.2,4.174726130998763,2.1546500435440255,4.174726130998763,2.1546500435440255,1.721593252967869,0.764908099188706,21966.0,40.27318146399597,17842.0,0.5479265805574438,26.270646032368244,201,49,250,3760,4010,31385,1232,641794,7.0,2.0,PAT,2,11
P.A. Trento,1010.0,2021-03-11,14.0,357.0,1312.0,853.0,2165.0,0.0,79450.0,59649.0,38975.0,20674.0,75.07740717432347,545425.0,109.36242379795571,71.45803731035431,37.90438648760141,39.39953810623557,1461.8,904.4,557.4,3.969381674840721,2.6801118393913,3.969381674840721,2.6801118393913,1.5639180455608013,1.021955355915112,19801.0,36.30379978915525,18301.0,-0.04918752744839705,29.997548189134488,198,49,247,3880,4127,31637,1233,645459,1.0,-3.0,PAT,3,11
P.A. Trento,1011.0,2021-03-12,153.0,204.0,1124.0,619.0,1743.0,0.0,79450.0,61392.0,40099.0,21293.0,77.27123977344242,545425.0,112.55809689691525,73.51881560251181,39.039281294403445,35.513482501434304,1806.2,1125.0,681.2,3.1956730989595266,3.3115460420772793,3.1956730989595266,3.3115460420772793,1.134894806802035,1.2489343172755192,18058.0,33.108126690195725,18806.0,-0.19491916859122405,37.10024468942135,194,46,240,3899,4139,31905,1234,648801,1.0,-7.0,PAT,4,11
P.A. Trento,1012.0,2021-03-13,276.0,0.0,343.0,0.0,343.0,0.0,79450.0,61735.0,40442.0,21293.0,77.70295783511642,545425.0,113.18696429389925,74.14768299949581,39.039281294403445,0.0,1599.8,990.6,609.2,0.6288673969840033,2.9331255443003164,0.6288673969840033,2.9331255443003164,0.0,1.1169271668882066,17715.0,32.47925929321171,19149.0,-0.8032128514056225,31.863881053057714,192,45,237,3948,4185,32096,1236,652495,1.0,-3.0,PAT,5,11
P.A. Trento,1013.0,2021-03-14,0.0,0.0,15.0,87.0,102.0,0.0,79450.0,61837.0,40457.0,21380.0,77.8313404657017,545425.0,113.37397442361461,74.17518448915983,39.19878993445478,85.29411764705883,1326.0,826.4,499.6,0.18701012971535957,2.4311316862996746,0.18701012971535957,2.4311316862996746,0.1595086400513361,0.9159829490764083,17613.0,32.29224916349636,19077.0,-0.7026239067055393,40.2891219855966,200,47,247,4065,4312,32241,1237,655199,3.0,10.0,PAT,6,11
